,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,index,beta
599,-0.1,0.1,0.4988668015462078,1,2,1.2,3.8422393030698183,0.3,1,0.38,1.2,600,trial 600,-0.06382461611167778
600,-0.1,0.1,0.4090626187179429,1,2,1.2,2.0023856895081593,0.3,1,0.35600000000000004,1.2,601,trial 601,-0.01187663181714133
601,-0.1,0.1,0.4481199842273914,1,2,1.2,4.277442987960672,0.3,1,0.382,1.2,602,trial 602,-0.04372023342152972
602,-0.1,0.1,0.4623422502203246,1,2,1.2,4.6832077963352585,0.3,1,0.413,1.2,603,trial 603,-0.0749559748581426
603,-0.1,0.1,0.4997336943024428,1,2,1.2,2.364780947784527,0.3,1,0.624,1.2,604,trial 604,-0.013596142630585364
604,-0.1,0.1,0.5253519349744741,1,2,1.2,1.0331543758371164,0.3,1,0.624,1.2,605,trial 605,-0.06085622982512288
605,-0.1,0.1,0.4200646446067635,1,2,1.2,1.7008374871860008,0.3,1,0.8029999999999999,1.2,606,trial 606,-0.027547178705012533
606,-0.1,0.1,0.4904000623190289,1,2,1.2,2.782440465888163,0.3,1,0.41200000000000003,1.2,607,trial 607,-0.0781936096203735
607,-0.1,0.1,0.4716603203011329,1,2,1.2,1.490749352827771,0.3,1,0.491,1.2,608,trial 608,-0.04963619148844303
608,-0.1,0.1,0.4458456080790941,1,2,1.2,1.9799673015046453,0.3,1,0.381,1.2,609,trial 609,-0.040264332661127986
609,-0.1,0.1,0.470635791605322,1,2,1.2,1.8813346203867087,0.3,1,0.35600000000000004,1.2,610,trial 610,-0.018192793684705187
610,-0.1,0.1,0.5467133394011849,1,2,1.2,1.8995947032388445,0.3,1,0.429,1.2,611,trial 611,-0.06610806826131464
611,-0.1,0.1,0.4619944931712154,1,2,1.2,2.522803426154627,0.3,1,0.708,1.2,612,trial 612,-0.038479484551330864
612,-0.1,0.1,0.4166591606383425,1,2,1.2,1.9885529147374168,0.3,1,0.8640000000000001,1.2,613,trial 613,-0.04847196812070435
613,-0.1,0.1,0.4546032519432279,1,2,1.2,2.8865466346919018,0.3,1,0.936,1.2,614,trial 614,-0.06933516875397966
614,-0.1,0.1,0.41669457053765097,1,2,1.2,1.0434095744508258,0.3,1,0.7070000000000001,1.2,615,trial 615,-0.03559895411447653
615,-0.1,0.1,0.5094662604732771,1,2,1.2,0.7892185134781173,0.3,1,1.175,1.2,616,trial 616,-0.06095669724739465
616,-0.1,0.1,0.4628588389673017,1,2,1.2,0.1753651560068188,0.3,1,0.6779999999999999,1.2,617,trial 617,-0.06212901874901882
617,-0.1,0.1,0.5586291298751668,1,2,1.2,3.1770088887843837,0.3,1,0.36200000000000004,1.2,618,trial 618,-0.039153351747964436
618,-0.1,0.1,0.4321501093735285,1,2,1.2,-0.2189889467606574,0.3,1,0.6779999999999999,1.2,619,trial 619,-0.0368082230074432
619,-0.1,0.1,0.5713349771592355,1,2,1.2,1.6511920311777244,0.3,1,0.396,1.2,620,trial 620,-0.0711732246609659
620,-0.1,0.1,0.4398342461547808,1,2,1.2,1.514553933099586,0.3,1,0.821,1.2,621,trial 621,-0.045977816503323735
621,-0.1,0.1,0.4691806517679002,0,2,1.2,1.0486338845132444,0.3,1,0.385,1.2,622,trial 622,0.0046722186868281244
622,-0.1,0.1,0.4316978398003529,1,2,1.2,0.6831903952276659,0.3,1,0.7240000000000001,1.2,623,trial 623,-0.0012148995281810382
623,-0.1,0.1,0.4246746523341832,1,2,1.2,4.047642048248502,0.3,1,0.38,1.2,624,trial 624,-0.05427125764376101
624,-0.1,0.1,0.4783601379147665,1,2,1.2,2.096456680328679,0.3,1,0.517,1.2,625,trial 625,-0.04278706063489501
625,-0.1,0.1,0.4541464221560647,0,2,1.2,0.3197933327806606,0.3,1,0.40700000000000003,1.2,626,trial 626,0.07624955670686107
626,-0.1,0.1,0.477333114601169,0,2,1.2,-0.3077260662711612,0.3,1,0.603,1.2,627,trial 627,0.09826971556005461
627,-0.1,0.1,0.4613355760476837,1,2,1.2,2.1716922674341426,0.3,1,0.956,1.2,628,trial 628,-0.0610373850320604
628,-0.1,0.1,0.4753333671727669,1,2,1.2,0.8642345347905807,0.3,1,0.488,1.2,629,trial 629,-0.05222280743833936
629,-0.1,0.1,0.4699119764274584,1,2,1.2,3.0932642727536295,0.3,1,0.519,1.2,630,trial 630,-0.05154774936208103
630,-0.1,0.1,0.5147991913270487,0,2,1.2,1.4096318636069105,0.3,1,0.5469999999999999,1.2,631,trial 631,0.0724761645678136
631,-0.1,0.1,0.3328829459335535,1,2,1.2,3.472111374581747,0.3,1,0.5549999999999999,1.2,632,trial 632,-0.04257141131590741
632,-0.1,0.1,0.4753511512000601,1,2,1.2,2.697473731935445,0.3,1,0.563,1.2,633,trial 633,-0.021142269263063194
633,-0.1,0.1,0.4434093024936276,1,2,1.2,1.9705526980894603,0.3,1,0.677,1.2,634,trial 634,-0.07374651059741519
634,-0.1,0.1,0.4066196315685215,1,2,1.2,2.809379049229995,0.3,1,0.5409999999999999,1.2,635,trial 635,-0.00871618512081476
635,-0.1,0.1,0.4252684657784407,1,2,1.2,1.122961946996219,0.3,1,0.6920000000000001,1.2,636,trial 636,-0.06963805659305558
636,-0.1,0.1,0.4041095176891666,1,2,1.2,2.6324405423131347,0.3,1,0.43700000000000006,1.2,637,trial 637,-0.03289203283296964
637,-0.1,0.1,0.4317041111680079,1,2,1.2,2.2333357153801487,0.3,1,0.361,1.2,638,trial 638,-0.0690156794430283
638,-0.1,0.1,0.5192762143291945,1,2,1.2,3.1078358819491605,0.3,1,0.413,1.2,639,trial 639,-0.023052177708412152
639,-0.1,0.1,0.4333758091556828,0,2,1.2,0.6398573388622062,0.3,1,0.449,1.2,640,trial 640,0.018187900186135322
640,-0.1,0.1,0.40109265069950334,1,2,1.2,2.005275497945234,0.3,1,0.5589999999999999,1.2,641,trial 641,-0.05698870104790969
641,-0.1,0.1,0.4432520861459868,1,2,1.2,2.479397440497169,0.3,1,0.36,1.2,642,trial 642,-0.06655189202832254
642,-0.1,0.1,0.4082567837558684,0,2,1.2,0.6193258070609182,0.3,1,0.5329999999999999,1.2,643,trial 643,-0.05502958492662918
643,-0.1,0.1,0.42958254064793777,1,2,1.2,1.5063424950788418,0.3,1,0.40299999999999997,1.2,644,trial 644,0.023883328613097523
644,-0.1,0.1,0.4773546526665603,0,2,1.2,0.6425316580648308,0.3,1,0.48700000000000004,1.2,645,trial 645,-0.036487656409200535
645,-0.1,0.1,0.4919642672718381,1,2,1.2,2.0800494829455407,0.3,1,0.46,1.2,646,trial 646,0.02678748660105669
646,-0.1,0.1,0.4869235612553288,1,2,1.2,2.334984482388916,0.3,1,0.531,1.2,647,trial 647,-0.021341110954492544
647,-0.1,0.1,0.4712391250597534,1,2,1.2,3.215932017820542,0.3,1,0.428,1.2,648,trial 648,-0.07260414139219107
