,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset
368,-0.1,0.1,0.429229842800013,1,2,1.2,3.1054464155561723,0.3,1,0.515,1.2,369,3690
369,-0.1,0.1,0.4411309551944505,1,2,1.2,0.977823413553044,0.3,1,0.464,1.2,370,3700
370,-0.1,0.1,0.459676879349239,1,2,1.2,2.003714831942883,0.3,1,0.451,1.2,371,3710
371,-0.1,0.1,0.4543634260480972,0,2,1.2,1.8985991303249596,0.3,1,0.475,1.2,372,3720
372,-0.1,0.1,0.5061294361701916,1,2,1.2,3.0890488905222715,0.3,1,0.37,1.2,373,3730
373,-0.1,0.1,0.4497168985747133,1,2,1.2,2.6910530537982296,0.3,1,0.49700000000000005,1.2,374,3740
374,-0.1,0.1,0.5090940829790116,1,2,1.2,1.9383790608539515,0.3,1,0.456,1.2,375,3750
375,-0.1,0.1,0.4492952299106841,1,2,1.2,2.9814180978704603,0.3,1,0.456,1.2,376,3760
376,-0.1,0.1,0.4196613180824284,0,2,1.2,2.109141178461016,0.3,1,0.439,1.2,377,3770
377,-0.1,0.1,0.4358073718027323,1,2,1.2,2.9476545981475897,0.3,1,0.607,1.2,378,3780
378,-0.1,0.1,0.4942538899869811,1,2,1.2,1.6405684716673543,0.3,1,0.665,1.2,379,3790
379,-0.1,0.1,0.4313220636937805,1,2,1.2,2.277974128497268,0.3,1,0.861,1.2,380,3800
380,-0.1,0.1,0.4606067041641512,1,2,1.2,3.1710734324485097,0.3,1,0.429,1.2,381,3810
381,-0.1,0.1,0.518724738672386,1,2,1.2,1.3374719152128396,0.3,1,0.36700000000000005,1.2,382,3820
382,-0.1,0.1,0.4828148082230483,1,2,1.2,1.1651810549018464,0.3,1,0.607,1.2,383,3830
383,-0.1,0.1,0.4082330064527716,1,2,1.2,0.2025037558316194,0.3,1,1.199,1.2,384,3840
384,-0.1,0.1,0.4245575890534087,0,2,1.2,-0.04108325909812338,0.3,1,1.0759999999999998,1.2,385,3850
385,-0.1,0.1,0.4882661744825715,1,2,1.2,3.4344609045235015,0.3,1,0.41200000000000003,1.2,386,3860
386,-0.1,0.1,0.47573645660074604,1,2,1.2,2.15162970846745,0.3,1,0.5569999999999999,1.2,387,3870
387,-0.1,0.1,0.4349767566526612,1,2,1.2,3.3451950426412886,0.3,1,0.627,1.2,388,3880
388,-0.1,0.1,0.446091969671056,0,2,1.2,-0.26782818755956805,0.3,1,0.504,1.2,389,3890
389,-0.1,0.1,0.4065632673761184,1,2,1.2,0.4048012077505432,0.3,1,0.494,1.2,390,3900
390,-0.1,0.1,0.4268404571964118,0,2,1.2,-0.465482801675563,0.3,1,0.463,1.2,391,3910
391,-0.1,0.1,0.4746870740278618,1,2,1.2,2.6962787655299514,0.3,1,0.456,1.2,392,3920
392,-0.1,0.1,0.4459825777830781,0,2,1.2,1.0645586315546305,0.3,1,1.209,1.2,393,3930
393,-0.1,0.1,0.4721092651245073,1,2,1.2,3.4071097636567234,0.3,1,0.622,1.2,394,3940
394,-0.1,0.1,0.3946869409930519,1,2,1.2,-0.3567573794901775,0.3,1,0.5640000000000001,1.2,395,3950
395,-0.1,0.1,0.4336302491908219,0,2,1.2,1.2201794965797532,0.3,1,0.386,1.2,396,3960
396,-0.1,0.1,0.5307616238410579,0,2,1.2,0.9944257163222174,0.3,1,0.7130000000000001,1.2,397,3970
397,-0.1,0.1,0.4832274434484898,1,2,1.2,2.7675504415650147,0.3,1,0.8260000000000001,1.2,398,3980
398,-0.1,0.1,0.5302847612600414,1,2,1.2,2.506999196969228,0.3,1,1.7950000000000002,1.2,399,3990
399,-0.1,0.1,0.396999537385094,1,2,1.2,2.2070578675799988,0.3,1,0.8540000000000001,1.2,400,4000
400,-0.1,0.1,0.5137663384415196,0,2,1.2,2.809552112623725,0.3,1,0.532,1.2,401,4010
401,-0.1,0.1,0.3964784372751909,1,2,1.2,0.6822452443957443,0.3,1,0.7290000000000001,1.2,402,4020
402,-0.1,0.1,0.4204325589754625,1,2,1.2,0.6056078675287488,0.3,1,0.381,1.2,403,4030
403,-0.1,0.1,0.4353050950478732,0,2,1.2,1.3006094516735105,0.3,1,0.748,1.2,404,4040
404,-0.1,0.1,0.5075462338295632,1,2,1.2,1.4957874144261951,0.3,1,0.815,1.2,405,4050
405,-0.1,0.1,0.4767893493364432,0,2,1.2,0.6134418421222054,0.3,1,0.7,1.2,406,4060
